CoV,Gesture,MDR,Pulses,Subject
0.2440320456924144,pinch,18.568259418584464,470,S04
0.23913143935761383,pinch,9.56067825382434,242,S04
0.28711557093728174,pinch,14.533505601943807,368,S04
0.23153820639461073,pinch,8.375550990094235,212,S04
0.22292274343750657,pinch,8.48981480588842,215,S04
0.2439199623739231,grip,7.897806700409737,200,S04
0.24116810000233765,grip,13.82116172571704,350,S04
0.19576874715171635,grip,7.187004097372861,182,S04
0.2571994912002246,grip,6.278756326825741,159,S04
0.18121697009253201,grip,11.056929380573632,280,S04
0.25535044689395464,grip,6.555179561340082,166,S04
0.21546735039617942,grip,12.913287441429976,327,S04
0.24702863766651537,grip,13.30818919804863,337,S04
0.19546096850115804,grip,12.005013401207073,304,S04
0.17455856570524242,grip,13.2292088467249,335,S04
0.26336538194607256,grip,11.965523225545207,303,S04
0.23750648301238936,grip,10.028957566176329,254,S04
0.2491175064861539,grip,13.227295950335945,335,S04
0.2113717959422476,grip,8.133799897818522,206,S04
0.20732856328460286,grip,13.977500795280372,354,S04
0.2698853314995723,grip,12.794446854663775,324,S04
0.2527360885260863,grip,13.386782357194505,339,S04
0.20572697160429568,grip,13.742183658712943,348,S04
0.2764837474693669,grip,14.018606893227284,355,S04
0.2326633765519139,grip,12.360067486141238,313,S04
0.19172122893896307,grip,11.649264883104362,295,S04
0.2342666141251947,grip,11.139344025151168,282,S04
0.26186637720624617,pinch,14.372206905858992,364,S04
0.2653105577161303,pinch,9.833812214358717,249,S04
0.225,pinch,7.544441979999421,191,S04
0.027777777777777776,pinch,9.790448653076961,248,S04
0.28016669669072486,grip,15.678355525130884,397,S04
0.1267289574517339,grip,10.781337678490507,273,S04
0.1964756813562652,grip,14.534066145983994,368,S04
0.282456530828391,grip,15.758403239803298,399,S04
0.26722804480062573,grip,16.943245588660687,429,S04
0.2790867243383936,grip,18.572021185255217,470,S04
0.21640632637617307,grip,8.176752529100325,207,S04
0.24041904768400357,grip,10.507324505993655,266,S04
0.2732839161569857,grip,12.561387943255571,318,S04
0.14522071906577105,grip,8.176752529100325,207,S04
0.21440804894427756,grip,13.548918441939186,343,S04
0.1485521973167616,grip,13.864928201517943,351,S04
0.1909851026831877,grip,6.990502453934491,177,S04
0.19185658694560453,grip,14.09948800030855,357,S04
0.1544211577623175,grip,11.138055060026035,282,S04
0.21900449106900968,grip,13.744833903861917,348,S04
0.2521311562426436,grip,14.021310447905115,355,S04
0.28788131935000155,grip,20.142319930575642,510,S04
0.28260664235317645,grip,13.069106122094873,331,S04
0.18826395246177052,grip,13.858780208022056,351,S04
0.19179633592113263,grip,10.542149047127888,267,S04
0.29305042306608103,grip,12.555817966242204,318,S04
0.21210536907492317,grip,16.036722019711085,406,S04
0.26192142287496367,grip,6.793882234951494,172,S04
0.26049831043427973,grip,6.714883604312523,170,S04
0.2620894371329916,grip,13.469266523944531,341,S04
0.2664466219366278,grip,15.523230920557774,393,S04
0.17439419247550797,grip,13.072508485035483,331,S04
0.2686463036533774,grip,14.020364085158901,355,S04
0.20319332310135152,grip,9.004628201172478,228,S04
0.15896883586348837,grip,11.418385260924087,289,S04
0.17487648526279287,grip,11.655445162534967,295,S04
0.152916646121508,grip,9.996025851258802,253,S04
0.27304210450605126,grip,17.180545377405792,435,S04
0.18656290294204378,grip,14.415859914374975,365,S04
0.27529091370141817,pinch,6.554989973777572,166,S04
0.24698223981549455,grip,15.164081254880788,384,S04
0.22546553746758208,grip,10.938673196880153,277,S04
0.20591678845567168,grip,11.687176471722303,296,S04
0.21028497098199936,grip,7.89620804657529,200,S04
0.2139048035116404,grip,12.160160391725945,308,S04
0.248968611632564,grip,17.335351451406094,439,S04
0.1879186207736519,grip,12.912664976332103,327,S04
0.14072784854791429,grip,13.820895234606226,350,S04
0.18818583270813938,grip,13.741918690408475,348,S04
0.13011477758692352,grip,12.957774734283674,328,S04
0.140008594153711,grip,11.654096178700257,295,S04
0.1603996082320315,grip,14.419474932968114,365,S04
0.1886299917301192,grip,13.895718884326993,352,S04
0.2660544509319108,grip,13.224618824572563,335,S04
0.293871427092929,grip,11.013936274793268,279,S04
0.2072154533785211,grip,11.685036334547698,296,S04
0.19662014610987885,grip,10.540218585554848,267,S04
0.22321900256726313,grip,15.011766521353342,380,S04
0.22611101139520304,grip,17.065679069498294,432,S04
0.16402699781957714,grip,10.626545531701483,269,S04
0.221637227867048,grip,15.84487898052305,401,S04
0.2804963979347243,grip,15.370718013524854,389,S04
0.2016824636182803,grip,8.297816922468431,210,S04
0.26175875335489807,grip,13.395047317699039,339,S04
0.14518699693470294,grip,11.300836380123672,286,S04
0.2955577501457838,grip,19.243032577343456,487,S04
0.2507065322824307,grip,12.10710559870175,306,S05
0.2824757882238134,grip,7.042151218946799,178,S05
0.06199460916442048,grip,6.963496739917894,176,S05
0.28994729518340556,grip,7.9119180992853,200,S05
0.2579799286196506,grip,8.190338192250847,207,S05
0.18374435228885633,grip,6.527206351045952,165,S05
0.2382151164171231,grip,8.345542154713739,211,S05
0.2921147394384546,grip,7.119419847623094,180,S05
0.24642834882449952,grip,10.207163002743114,258,S05
0.14716907012844524,pinch,9.065187347179403,229,S06
0.18113961113016333,pinch,6.884233098611956,174,S06
0.28830289956333416,pinch,11.35930735930736,287,S06
0.1559102341743855,pinch,8.549578191587024,216,S06
0.13623726909920736,pinch,8.90254151331614,225,S06
0.28411664208808657,grip,8.389874396135266,212,S06
0.19597502207150824,grip,9.379246376811594,237,S06
0.1460445061443092,grip,9.852812179994977,249,S06
0.18936541248367061,grip,11.950574346192118,302,S06
0.2257667694648471,grip,8.349573467041512,211,S06
0.17891792189063555,grip,9.892859558106059,250,S06
0.2707700028358233,grip,15.271476866608712,386,S06
0.2741101675768091,grip,7.714865256447407,195,S06
0.1681775812216372,pinch,10.168189633522013,257,S06
0.23813269808412418,pinch,7.876161948014301,199,S06
0.1729976484683115,pinch,9.770652656790219,247,S06
0.14089363475734432,pinch,9.340935005701255,236,S06
0.16162975242104174,pinch,9.657576870301297,244,S06
0.12019211696709338,pinch,9.297132315300436,235,S06
0.08708467635314654,pinch,9.578694085018796,242,S06
0.23047381912635653,grip,6.33051273134732,160,S06
0.22039610786004388,pinch,8.072339438905635,204,S06
0.19744371841797784,pinch,7.913752463387302,200,S06
0.2674707596431837,pinch,8.427576480588854,213,S06
0.142157554989435,pinch,11.315682202366578,286,S06
0.2080139816335968,grip,7.794368510021734,197,S06
0.12967070936119285,grip,13.252590811191919,335,S06
0.23662214645893934,grip,7.75375462386154,196,S06
0.12112697926683344,grip,12.820155143599601,324,S06
0.2987968551992887,pinch,6.8457265411405555,173,S06
0.16177381105169658,pinch,14.442458726585972,365,S06
0.28010740740324835,grip,16.65748343347308,421,S06
0.29865699092461534,grip,13.09435092090903,331,S06
0.2047375213659941,grip,11.116352292372921,281,S06
0.18686298355284442,grip,11.952768383418688,302,S06
0.2660342078528521,grip,8.747569625635377,221,S06
0.20099122030751898,pinch,11.256653552418422,285,S07
0.2792896859815695,pinch,12.00709712257965,304,S07
0.27513234883589655,pinch,6.003548561289825,152,S07
0.2526939315341435,pinch,6.560365871308241,166,S07
0.21165223779688008,pinch,11.105197649624191,281,S07
0.2510643255862545,pinch,7.311251121638702,185,S07
0.251381200001267,pinch,11.373389895873506,288,S07
0.21765754069627422,pinch,11.579887880045156,293,S07
0.27887795534456333,pinch,11.810978667592485,299,S07
0.24443593685422277,pinch,7.585258345470153,192,S07
0.25533146662382594,grip,15.803688556215757,400,S07
0.2632728453818148,grip,16.98683512562087,430,S07
0.22863866927817006,grip,13.271258027810457,336,S07
0.2926440279977965,grip,17.609732116176172,446,S07
0.2908796427118357,grip,14.372068363874725,364,S07
0.2899960487626725,grip,17.97738935833623,455,S07
0.20377670357668956,grip,10.509858394104256,266,S07
0.2125100575602762,pinch,7.938137570626917,201,S07
0.29157359143099265,pinch,9.08344100121488,230,S07
0.2325428345985514,pinch,13.592352141072514,344,S07
0.28619884935946327,pinch,12.359710010797471,313,S07
0.27262165061995486,pinch,12.127459300979863,307,S07
0.21750105360223887,pinch,7.347581205153923,186,S07
0.25535982297125,grip,16.47042033499513,417,S07
0.2539473420311537,grip,15.447360552485122,391,S07
0.2745882516424901,grip,17.857306827936764,452,S07
0.2528634196258365,grip,15.565882500458153,394,S07
0.28165201284490665,grip,17.57770384300111,445,S07
0.25717884269208846,grip,16.037185978108877,406,S07
0.23363770858555555,grip,15.207383048689934,385,S07
0.26093202723251413,grip,17.182367860208107,435,S07
0.21987489391202686,grip,16.19237704048673,410,S07
0.28076469412961513,grip,18.996422820668577,481,S07
0.29263883106975314,pinch,14.92973337833277,378,S07
0.29038475033525774,pinch,6.279967214695531,159,S07
0.28050835494498083,pinch,11.381070911722142,288,S07
0.26128795333821087,pinch,12.721355749105395,322,S07
0.2964793912448393,pinch,15.482238592972577,392,S07
0.2801122192387554,grip,9.36160856357587,237,S07
0.029239766081871343,grip,6.162071459568928,156,S07
0.24331779280284105,grip,14.338389731621938,363,S07
0.2720986235265032,grip,14.930885175077389,378,S07
0.2932456664482433,grip,17.024369075286653,431,S07
0.23391607425592403,grip,16.27261944939974,412,S07
0.1645608635601123,grip,6.871025586641729,174,S07
0.22996280756932047,grip,6.910514239438521,175,S07
0.2167033393005635,grip,9.323906438389198,236,S07
0.2864351218664841,grip,6.202768266216542,157,S07
0.2761632489813527,grip,9.08685796961659,230,S07
0.1893238720979957,grip,11.926837969435471,302,S07
0.229254783338581,pinch,7.7012524948656385,195,S07
0.16108891540115772,pinch,9.517958211603174,241,S07
0.21954840110140342,pinch,8.25519768563163,209,S07
0.2947926503090654,pinch,7.899710703953713,200,S07
0.14010776818296422,pinch,9.875114518539949,250,S07
0.19900742253523931,grip,12.482987423809892,316,S07
0.19733458421776418,grip,15.799726127794171,400,S07
0.1710082472000178,grip,10.945215654875025,277,S07
0.21719943294792535,grip,10.826675413125477,274,S07
0.24330616988241432,grip,16.358553361437764,414,S07
0.1813641355975121,grip,14.492056146845597,367,S07
0.19107040872773554,grip,16.11105969458584,408,S07
0.2084122476986864,grip,13.625030130646483,345,S07
0.2778496167846258,grip,6.713782962927253,170,S07
0.26594419961324106,grip,18.99733868168319,481,S07
0.29118287462424036,pinch,11.021371807730885,279,S07
0.239644735230786,pinch,6.083481212869377,154,S07
0.28533036462853917,pinch,9.638762441169662,244,S07
0.11800561581411072,pinch,12.760616904098226,323,S07
0.241108120375986,pinch,8.491861451824423,215,S07
0.13548144333354598,pinch,10.782689192316594,273,S07
0.26168435099012455,pinch,6.87049569090173,174,S07
0.18536827486990937,pinch,11.174426899570054,283,S07
0.22387873042391693,grip,10.545503635276647,267,S07
0.27481154954098225,grip,13.626212562436118,345,S07
0.18097272058071717,grip,11.49751613307739,291,S07
0.20806829927344456,grip,11.53702649779587,292,S07
0.20414311768204427,grip,14.135983727454137,358,S07
0.2835810519874807,grip,17.847666605612485,452,S07
0.21026288318416042,grip,15.523530319395155,393,S07
0.2912343404372264,grip,18.88103687702515,478,S07
0.2727811429493868,grip,9.12654210835994,231,S07
0.21664011658189955,grip,16.67273060488266,422,S07
0.2305040449873157,grip,15.562880314763204,394,S07
0.24960039244841006,grip,15.483880922302477,392,S07
0.29110485641985245,grip,10.032922842512319,254,S07
0.26634634833370957,grip,17.89336239235465,453,S07
